household,Geschirr,Waschmaschine,Trockner,meter
100017,3404.720761490786,1977.4839308837795,761.3018483606556,32137.69039342892
100020,607.1850832091405,1372.6690760946708,1071.9678835545149,37985.09578692589
100033,2979.033807413419,3582.295395093796,409.071836429774,49552.33130778222
100037,0.0,4244.82497155955,5107.832039794904,57132.14203997763
100038,2713.5202857398085,2540.125860229933,1350.2313728798526,56178.490006621396
100045,2568.9900756097272,2595.2842276216497,1847.972433367011,48208.70651886056
200035,5770.432282266458,2813.2947390059844,5683.640458235756,68887.76855657001
